Hit List: Data Accesses Internal / ...

	Hits	Gross [microsec]	Net [microsec]	Gross [%]	Net [%]	Statement/Event	Program Called	Calling Program
	  3	          3,551	          146	     0.05	  <0.01	Fetch /SAPAPO/MATGROUP	/SCWM/CL_AF_MATERIAL_BASE_S4==CP	/SCWM/CL_AF_MATERIAL_BASE_S4==CP
	  3	          3,328	          145	     0.04	  <0.01	Fetch DD01L	RADBTDDF	RADBTDDF
	502	            155	          142	    <0.01	  <0.01	DB Buffer: Fetch TABL FETCH(Q)	ZCL_DEFAULT_HT_GOODSMVT_CREATECP	ZCL_DEFAULT_HT_GOODSMVT_CREATECP
	 10	            140	          140	    <0.01	  <0.01	DB Buffer: Fetch TABL FETCH(Q)	CL_FML_ERD_SETTINGS===========CP	CL_FML_ERD_SETTINGS===========CP
	  4	          4,089	          138	     0.05	  <0.01	Select Single FCLMGLACCOUNTBAMACCOUNT	CL_FQM_ACCOUNT_GENERATE=======CP	CL_FQM_ACCOUNT_GENERATE=======CP
	 63	            138	          138	    <0.01	  <0.01	DB Buffer: Close TABL CLOSE(Q)	SAPLOLEA	SAPLOLEA
	  2	          2,642	          135	     0.03	  <0.01	Select Single I_PRODUCTPLANTBASIC	ZCL_MIGO_BADI_HT_MODIFY=======CP	ZCL_MIGO_BADI_HT_MODIFY=======CP
	  5	          3,727	          134	     0.05	  <0.01	Select Single V_MBEW_MD	/SCWM/CL_ERP_PI_S4============CP	/SCWM/CL_ERP_PI_S4============CP
	  2	          2,609	          132	     0.03	  <0.01	Select Single MARV	SAPLMG05	SAPLMG05
	 25	            129	          129	    <0.01	  <0.01	DB Buffer: Get TABL GET(Q)	SAPLMG27	SAPLMG27
	  2	          2,991	          129	     0.04	  <0.01	Fetch MEAN	SAPLMG37	SAPLMG37
	  2	          2,912	          128	     0.04	  <0.01	Select Single MSTB	SAPLMATL	SAPLMATL
	 63	            127	          127	    <0.01	  <0.01	DB Buffer: Open TABL OPEN(Q)	SAPLOLEA	SAPLOLEA
	  1	            126	          126	    <0.01	  <0.01	DB Buffer: Fetch TABL FETCH(Q)	CL_FINS_MA_DSUM_DAO===========CP	CL_FINS_MA_DSUM_DAO===========CP
	 11	          2,848	          125	     0.04	  <0.01	DB Buffer: Open TABL OPEN(Q)	ZCL_JVA_FI_DOC_DFTCO_IMP======CP	ZCL_JVA_FI_DOC_DFTCO_IMP======CP
	  4	          3,738	          125	     0.05	  <0.01	Open Cursor OIB_DEF_INDEX_GM	SAPLOIB_QCI	SAPLOIB_QCI
	  1	          1,842	          124	     0.02	  <0.01	Fetch T001	CL_FIN_CFIN_CPAY_PAYT_CARD====CP	CL_FIN_CFIN_CPAY_PAYT_CARD====CP
	 24	          2,371	          124	     0.03	  <0.01	DB Buffer: Get TABLP GET	ZCL_OIL_MATERIAL_PROCESS======CP	ZCL_OIL_MATERIAL_PROCESS======CP
	  2	          2,614	          123	     0.03	  <0.01	Fetch SWOR	SAPLCLSE	SAPLCLSE
	  2	          2,833	          122	     0.04	  <0.01	Fetch MARA	/SCWM/CL_AF_MATERIAL_BASE_S4==CP	/SCWM/CL_AF_MATERIAL_BASE_S4==CP
	 67	            122	          122	    <0.01	  <0.01	Import From Shared Buffer %F/SCWM/S_STOCK_UPLOAD_OUTE MANDT S	SAPLSLVC	SAPLSLVC
	  2	            121	          121	    <0.01	  <0.01	DB Buffer: Fetch TABL FETCH(Q)	CL_EXITHANDLER================CP	CL_EXITHANDLER================CP
	  2	          3,403	          121	     0.04	  <0.01	DB Buffer: Load TABL LOAD	SAPLCTMS	SAPLCTMS
	 48	            611	          121	     0.01	  <0.01	DB Buffer: Get TABLP GET	ZCL_MIGO_BADI_HT_MODIFY=======CP	ZCL_MIGO_BADI_HT_MODIFY=======CP
	  4	            120	          120	    <0.01	  <0.01	DB Buffer: Fetch TABL FETCH(Q)	SAPLBD22	SAPLBD22
	  1	          2,163	          120	     0.03	  <0.01	Select Single SWFDEVTYP	CL_SWF_EVT_TYPE_LINKAGE=======CP	CL_SWF_EVT_TYPE_LINKAGE=======CP
	  1	          3,145	          120	     0.04	  <0.01	Select Single /SCWM/HUHDR	/SCWM/CL_HUID_SERVICE=========CP	/SCWM/CL_HUID_SERVICE=========CP
